country,totalCases,totalNewCases,estimate,lower,upper,population,propCurrentlyInfMid,propCurrentlyInfLow,propCurrentlyInfHigh
Congo,1204,321,0.3352598160077867,0.17885700416913558,0.5327733287922638,5518092,3.5e-4,1.4e-4,0.0011
Costa Rica,2684,915,0.9428890703731075,0.7711120264524034,0.99999994901262,5094114,3.8e-4,2.3e-4,7.8e-4
Côte d'Ivoire,8164,2485,0.966697655446427,0.860187526091146,0.9999999965862945,26378275,1.9e-4,1.2e-4,3.7e-4
Croatia,2483,228,0.3009480463862268,0.13630678453235723,0.6500783215814174,4105268,3.7e-4,1.1e-4,0.0014
Cuba,2321,48,0.857047983591759,0.514218592794336,0.9999535146333658,11326616,9.9e-6,5.5e-6,2.7e-5
Cyprus,992,7,0.8134982777081345,0.3803134058847349,0.9997346117910929,1207361,1.4e-5,7.5e-6,5.1e-5
Czechia,10870,759,0.6882123521587927,0.3918555349304592,0.983635059235628,10708982,2.1e-4,9.4e-5,6e-4
Democratic Republic of the Congo,6411,1437,0.6562418645752388,0.43763296450196576,0.893827681806761,89561404,4.9e-5,2.3e-5,1.2e-4
Denmark,12636,386,0.6817081969599418,0.45132247571810064,0.9043116727310541,5792203,2e-4,9.6e-5,4.9e-4
Djibouti,4635,96,0.8805284927012195,0.5626351132101259,0.999961882400801,988002,2.2e-4,1.3e-4,5.8e-4
Dominican Republic,29141,5455,0.6277828214777147,0.46631846718890796,0.8232109737154529,10847904,0.0016,7.9e-4,0.0036
Ecuador,53156,5213,0.20929934796179803,0.17104154415962336,0.2511946500602137,17643060,0.0028,0.0015,0.0058
Egypt,61130,13274,0.2528461629374437,0.2166354765789186,0.2923710710194859,102334403,0.001,5.8e-4,0.002
El Salvador,5336,1395,0.24451924682252335,0.1505265192377589,0.387240218188349,6486201,0.0018,7.2e-4,0.0048
Equatorial Guinea,2001,695,0.9282623732457904,0.19421982306298238,1,1402985,0.0011,6.4e-4,0.0085
Estonia,1984,9,0.49357094254695666,0.2784560482242297,0.8738703855807349,1326539,2.7e-5,1e-5,8.1e-5
Ethiopia,5175,1545,0.6492795225066212,0.45495029812735766,0.9172914805822612,114963583,4.1e-5,1.9e-5,9.8e-5
Finland,7172,60,0.8720998722919073,0.5436791281132446,0.999812754951078,5540718,2.5e-5,1.4e-5,6.6e-5
France,161348,3632,0.3684770612785711,0.28177019461865854,0.5778842128330732,65273512,3e-4,1.3e-4,6.6e-4
Gabon,5087,973,0.9555027349536417,0.8046719220299903,0.9999999930364315,2225728,9.2e-4,5.7e-4,0.0018
Georgia,919,31,0.8189111491481517,0.4729382792514663,0.999792414094563,3989175,1.9e-5,1e-5,5.5e-5
Germany,192556,5372,0.5521677112224901,0.43747142794168686,0.6796850616528016,83783945,2.3e-4,1.2e-4,4.9e-4
Ghana,15473,3280,0.9690239293685451,0.7839400497456529,0.9999999999950383,31072945,2.2e-4,1.4e-4,4.5e-4
Greece,3321,173,0.294770447823048,0.18853262731912296,0.49561422187677295,10423056,1.1e-4,4.3e-5,2.9e-4
Guatemala,15619,4913,0.2624810996227254,0.203078814731585,0.33095320854326826,17915567,0.0021,0.0011,0.0045
Guinea,5211,572,0.9711572634081291,0.8606106137958983,0.9999999998732318,13132792,9e-5,5.7e-5,1.7e-4
Guyana,215,44,0.606660945838538,0.21241899317950846,0.9932663725187659,786559,1.8e-4,7.3e-5,8.8e-4
Haiti,5543,996,0.9198368856346569,0.6861842811652747,0.9999664754065238,11402533,1.9e-4,1.1e-4,4.2e-4
Honduras,15366,5710,0.4373653199047812,0.3420737840802739,0.5449169285245266,9904608,0.0026,0.0014,0.0056
Hungary,4123,45,0.1367164599435258,0.09143576448668365,0.2007897712513442,9660350,6.8e-5,3e-5,1.7e-4
Iceland,1830,18,0.8645440846105097,0.4712082126789212,0.999973545516426,341250,1.2e-4,6.9e-5,3.7e-4
